order,id,name,name_change_note,action,year,tier,suggested_image_filename,current_image_path,summary,domains,stack,connections,notes
54,speculative-narrative-design,SPECULATIVE NARRATIVE DESIGN,,keep,2025,secondary,speculative-narrative-design-workshop.jpg,,"Future-casting workshop materials — methodologies for designing with uncertainty, building narratives for futures that don't exist yet. Part of the Fictive Environments practice: treating fiction as a design tool for institutional and spatial problems.",text|space,Workshop Design|Futures Methodology|Speculative Design,fictive-environments|systems-choreography,"Image: a workshop spread — post-its, diagrams, hands visible around a table. Or a speculative timeline visualization."
55,autopsy-beirut-phantom,THE AUTOPSY / BEIRUT PHANTOM,NAME CHANGED: was 'THE AUTOPSY / BEIRUT PHANTOM' — clarifying as two linked works,keep,2024,secondary,autopsy-beirut-phantom-spatial-media.jpg,images/atlas/autopsy-beirut-phantom-spatial-media.webp,"A spatial media work occupying the territory between architectural rendering and interactive fiction — the 'autopsy' of a city and the 'phantom' of its continuation. Operating on the same low-resolution, fragment-aware logic that runs through the rest of the practice: what remains when the building is gone.",space|image|systems,Spatial Media|Interactive Fiction|3D Rendering,the-labyrinth|architecture-in-low-res,Keep current screenshot if it shows the spatial interface clearly.
56,archive-of-unwritten-songs,ARCHIVE OF UNWRITTEN SONGS,,keep,2024,secondary,archive-unwritten-songs-generative.jpg,images/atlas/archive-unwritten-songs-generative.webp,"Generative art project on melodic loss — an archive populated with songs that were almost written, tunes that dissolved before notation, melodic fragments from the research process. The counterfactual as archive. What the model refused to generate, stored as documentation of the refusal.",sound|code,Generative Audio|Archive|AI/ML,427-ai-tracks-archive|localization-gap,"Image: a visual representation of absence — empty notation staves, a spectrogram of silence, or a database with deliberately empty fields."
57,vessel-orchestra-met,VESSEL ORCHESTRA (MET),,keep,2019,secondary,vessel-orchestra-met-documentation.jpg,images/atlas/vessel-orchestra-met-documentation.webp,"Documentation node for the Vessel Orchestra performance at The Metropolitan Museum of Art — photographs, sound recordings, curatorial notes. The museum as resonant space, the collection as instrument, the visitor as listener.",sound|space,Live Performance Documentation|Sound Art,vessel-orchestra|new-york-voices,Image: the MET performance — ideally a wide architectural shot of the performance space with performers and objects.
58,codeverse-explorer,CODEVERSE EXPLORER,,keep,2025,secondary,codeverse-explorer-3d-codebase.jpg,images/atlas/codeverse-explorer-3d-codebase.webp,"3D cartography for visual codebases — spatial computing interface for code architecture using acetate-layer depth navigation. Extends the relational-spatial method of STORYLINES into engineering infrastructure: code as architecture, the repository as a building you can walk through. Makes the practice's cross-domain consistency obvious.",code|systems|space,Three.js|WebGL|Code Visualization,telescode|meaning-stack,Keep current screenshot — it reads well as spatial code navigation.
59,the-erasure-protocols,THE ERASURE PROTOCOLS,,keep,2024,secondary,erasure-protocols-interactive-fiction.jpg,,"Interactive fiction archive documenting protocols of cultural erasure — in AI systems, in censorship regimes, in the archive's own logic of inclusion and exclusion. Draws directly from the Localization Gap research and the experience of systematic banning across MENA.",text|code,Interactive Fiction|Archive|Political Documentation,localization-gap|hah-was|the-archive,"Image: a redacted document — heavy black bars over text, bureaucratic formatting. Or a database with systematically missing fields."
60,in-itaf-the-turn,INʿIṬĀF (THE TURN),,keep,2024,secondary,initaf-ritual-generator-pwa.jpg,,"Progressive Web App ritual generator — a daily practice tool built on the concept of inʿiṭāf, the Arabic term for a turn or deflection in classical rhetoric. The app generates ritual instructions for reorientation: spatial, temporal, attentional. Systems Choreography as daily practice.",code|text,PWA|Web App|Ritual Design,systems-choreography|cartography-of-absence,"Image: a smartphone screen showing a ritual instruction, or the app's interface — minimal, typographic, Arabic and English text."
61,tuning-fork,TUNING FORK,,keep,2025,secondary,tuning-fork-image-decay-software.jpg,,"Image decay and visualization software — a tool that applies controlled degradation to images, simulating the effects of time, compression, and transmission error. Architecture in Low Res applied as software: what does an image retain when resolution is deliberately withdrawn?",code|image,Image Processing|Decay Simulation|Software Art,architecture-in-low-res|photon-plus,Image: a before/after comparison of image decay — or a single deeply degraded image that retains enough to be recognizable.
62,heroes-of-a-transitional-time,HEROES OF A TRANSITIONAL TIME,,keep,2012,secondary,heroes-transitional-time-exhibition.jpg,images/atlas/heroes-transitional-time-exhibition.webp,"Visual art critique on masculinity, produced during the Marra.tein Residency in Beirut. An exhibition-based work examining the construction of heroism and masculine identity in post-war Lebanese visual culture.",image|systems,Visual Art|Exhibition|Cultural Critique,marra-tein-residency|the-beirut-school,Image: an installation shot from the exhibition — ideally showing work on walls with the gallery space visible.
63,aub-architecture-b-arch,AUB ARCHITECTURE (B.ARCH),,keep,2004–09,secondary,aub-barch-beirut-campus.jpg,images/atlas/aub-barch-beirut-campus.webp,"Five years of architectural education at the American University of Beirut — foundational training in spatial thinking, structural systems, and the specific grammar of Lebanese urbanism. The degree that built the spatial logic underlying all six domains of the practice. Projects included the Museum of Architecture, Bourj Hammoud urban research, and post-conflict reconstruction mapping.",space,Architecture|AUB|Undergraduate,the-beirut-school|beirut-river-project|b018-nightclub|2006-reconstruction,"Image: the AUB campus or a studio model from the undergraduate years — architectural, Beirut light."
64,the-bartlett-m-arch,THE BARTLETT (M.ARCH),,keep,2014–15,secondary,bartlett-march-london-thesis.jpg,images/atlas/bartlett-march-london-thesis.webp,"Master of Architecture at The Bartlett, UCL London — Said Foundation Scholar, British Lebanese Association Scholar. The thesis: Architecture in Low Res. The degree that connected the spatial practice to digital mediation theory and set the conditions for the code-based work that followed.",space,Architecture|UCL|Postgraduate|Thesis,architecture-in-low-res|sophies-world|barbican-release,"Image: the Bartlett building exterior, or a thesis presentation image — London, academic, precise."
65,marra-tein-residency,MARRA.TEIN RESIDENCY,,keep,2012,secondary,marra-tein-residency-beirut.jpg,,"Art residency and exhibition at the Marra.tein space in Hamra, Beirut — an adaptive reuse project itself, an early experiment in the kind of institutional space MEKENA NYC later became. Site of the Heroes of a Transitional Time exhibition.",image|space,Art Residency|Exhibition|Adaptive Reuse,heroes-of-a-transitional-time|home-workspace-hwp,Image: the Marra.tein space — the building exterior or an exhibition installation view.
66,home-workspace-hwp,HOME WORKSPACE (HWP),,keep,2013,secondary,home-workspace-ashkal-alwan.jpg,images/atlas/home-workspace-ashkal-alwan.webp,"Ashkal Alwan's Home Workspace Program — Beirut's most rigorous interdisciplinary residency, focused on critical practice and political art. The program that formalized the practice's engagement with theory, documentation, and the relationship between art and institution.",image|text,Art Residency|Critical Practice|Interdisciplinary,the-beirut-school|marra-tein-residency,"Image: the Ashkal Alwan space or a documentation photograph from the program — Beirut, institutional, critical."
67,nyu-kevorkian-residency,NYU KEVORKIAN RESIDENCY,,keep,2017,secondary,nyu-kevorkian-great-gig-exhibition.jpg,images/atlas/nyu-kevorkian-great-gig-exhibition.webp,Artist-in-residence at NYU's Kevorkian Center for Near Eastern Studies — culminating in The Great Gig in the Sky exhibition. The residency that marked the transition of the practice to New York and grounded it in an institutional relationship with Near Eastern Studies.,image|systems,Residency|Exhibition|Cultural Programming,the-great-gig-in-the-sky|new-york-voices|mekena-nyc,"Image: the Kevorkian Center or the Great Gig exhibition installation — New York, academic, cultural."
68,banksy-block-9-retreat,BANKSY / BLOCK 9 RETREAT,,keep,2018,secondary,banksy-block9-walled-off-hotel.jpg,images/atlas/banksy-block9-walled-off-hotel.webp,"Creative collaboration retreat connected to Banksy's Walled Off Hotel in Palestine — the site of the 'Salam' recording with Roisin Murphy. A convergence of music, visual art, and political space in a site specifically constructed to make the absurdity of the wall literal.",image|systems,Collaboration|Political Space|Music,mashrou-leila|roisin-murphy,"Image: the Walled Off Hotel exterior or interior — Banksy's work visible, the wall in background."
69,aub-150th-documentary,AUB 150TH DOCUMENTARY,,keep,2016,secondary,aub-150th-documentary-production.jpg,images/atlas/aub-150th-documentary-production.webp,Visual and music collaboration for the American University of Beirut's 150th anniversary documentary — original score and visual contribution to an institutional history of one of the Arab world's most significant universities.,image|sound,Documentary|Score|Institutional Film,the-beirut-school|aub-architecture-b-arch,"Image: a documentary film still — AUB campus, archival footage quality."
70,the-great-gig-in-the-sky,THE GREAT GIG IN THE SKY,,keep,2017,secondary,great-gig-sky-nyu-exhibition.jpg,images/atlas/great-gig-sky-nyu-exhibition.webp,"Exhibition at the NYU Kevorkian Center — named after the Pink Floyd track, the exhibition examined sonic, spatial, and cultural dimensions of exile and the afterlife of places. The work that established the New York institutional relationship.",image|systems,Exhibition|Installation|Cultural Programming,nyu-kevorkian-residency|cartography-of-absence,"Image: the exhibition installation view — works on walls, institutional gallery space, NYU context."
71,variations-on-cranes,VARIATIONS ON CRANES,,keep,2020,secondary,variations-on-cranes-video-performance.jpg,,"Video performance piece on the crane as figure — the construction crane ubiquitous in post-war Beirut, and the crane bird that carries the dead home in Armenian mythology. The two cranes as one image, inhabiting the same temporal and spatial register.",image|text,Video Art|Performance|Documentary,crane-song|post-apocalyptic-walking-tour,"Image: a still from the video — either a construction crane against Beirut sky, or the migratory crane bird in flight. Ideally both in the same frame."
72,how-to-walk-with-friends,HOW TO WALK WITH FRIENDS,,keep,2020,secondary,how-to-walk-with-friends-public-space.jpg,,"Video work on public space agency — instructions for moving through the city together, filmed during the 2019–2020 Lebanese uprising. The street as practice space, the walk as political act.",image|systems,Video Art|Public Space|Political Documentation,the-beirut-school|post-apocalyptic-walking-tour,"Image: a still from the video — people walking together in a Beirut street, slightly documentary in quality."
73,auditions-for-a-battle,AUDITIONS FOR A BATTLE,,keep,2013,secondary,auditions-for-a-battle-performance-video.jpg,images/atlas/auditions-for-a-battle-performance-video.webp,"Performance and video art piece — the battle as audition, the audition as performance. An examination of competitive structures and the theater of conflict in post-war Beirut cultural life.",image|systems,Performance Art|Video Art|Cultural Critique,the-beirut-school|home-workspace-hwp,"Image: a performance still — theatrical, confrontational, video-art quality."
74,kaboos-kaleidoscope,KABOOS (KALEIDOSCOPE),,keep,2009,archive,kaboos-kaleidoscope-stop-motion.jpg,,"Early stop-motion visual work — Kaboos means nightmare in Arabic. One of the earliest moving image experiments, made during the undergraduate years at AUB. The kaleidoscope as a structure for the nightmare: repetition, fragmentation, and the failure to escape the pattern.",image,Stop-Motion Animation|Early Work,lilly-doesnt-care-anymore,"Image: a still from the stop-motion animation — fragmented, kaleidoscopic, handmade quality."
75,lilly-doesnt-care-anymore,LILLY DOESN'T CARE ANYMORE,,keep,2008,archive,lilly-doesnt-care-2d-animation.jpg,images/atlas/lilly-doesnt-care-2d-animation.webp,Early 2D stop-motion experiment — the first moving image work in the archive. Lilly's indifference as a formal quality: what happens when a character refuses to perform emotional legibility.,image,2D Animation|Early Work,kaboos-kaleidoscope,"Image: a still from the 2D animation — hand-drawn, early, charming in its roughness."
76,material-for-a-novel-research-piece,MATERIAL FOR A NOVEL (RESEARCH PIECE),,keep,2014,archive,material-for-a-novel-research-still.jpg,images/atlas/material-for-a-novel-research-still.webp,"The research companion to the video essay Material for a Novel — notes, source materials, and documentation of the inquiry into tragic endings and narrative construction. The process made visible as artifact.",image|text,Video Essay|Research|Documentation,sophies-world|material-for-a-novel,"Image: a research spread — notes, stills, source materials. Documentary quality."
77,post-conflict-urbanism,POST-CONFLICT URBANISM,,keep,2006,archive,post-conflict-urbanism-south-lebanon.jpg,images/atlas/post-conflict-urbanism-south-lebanon.webp,"Research and urban mapping in South Lebanon following the 2006 war — the earliest instance of the practice engaging with documentation as political act. Architecture as humanitarian response, at the scale of a destroyed landscape.",space|systems,Urban Research|Mapping|Post-Conflict Planning,aub-architecture-b-arch|2006-reconstruction,"Image: a map or aerial photograph of South Lebanon — cartographic, infrastructural, documentary."
78,fawzi-azar-award,FAWZI AZAR AWARD,,keep,2009,archive,fawzi-azar-award-aub-ceremony.jpg,,"The Fawzi Azar Award for Architectural Excellence, received at AUB for the Museum of Architecture project. The first formal recognition in the practice — early evidence that the work was already doing something the field could identify as significant.",space,Architecture|Award|AUB,museum-of-architecture,"Image: the award certificate or a photograph from the ceremony — institutional, formal."
79,toros-roslin-award,TOROS ROSLIN AWARD,,keep,2004,archive,toros-roslin-award-2004.jpg,,"Early recognition in the visual arts — the Toros Roslin Award, named after the 13th-century Armenian illuminator, received in 2004 at the beginning of the undergraduate years. An award with deep Armenian cultural significance in the Lebanese Armenian community.",image,Visual Arts|Award|Early Recognition,,Image: the award documentation or a detail of the illuminated manuscript tradition the award references.
80,fasateen-mv,FASATEEN (MV),,keep,2010,archive,fasateen-music-video-still.jpg,images/atlas/fasateen-music-video-still.webp,"Breakthrough music video for Mashrou' Leila — Fasateen (Dresses) became the song that introduced the band to a regional audience, with a video that was as much a statement as the song itself.",image|sound,Music Video|Early Mashrou,,Image: a still from the Fasateen video — the most recognizable visual moment.
81,raksit-leila-mv,RAKSIT LEILA (MV),,keep,2010,archive,raksit-leila-video-still.jpg,,"Iconic music video and performance — Raksit Leila (Leila's Dance) became one of the band's defining early visual statements. The performance mode, the femininity, the street setting — all of it established.",image|sound,Music Video|Early Mashrou,,"Image: a still from the video — Leila dancing, the street, the early visual language."
82,doha-tribeca-film-fest,DOHA TRIBECA FILM FESTIVAL,,keep,2010,archive,doha-tribeca-film-fest-performance.jpg,,"Performance and screening at the Doha Tribeca Film Festival — an early international platform for the band, connecting Mashrou' Leila's sound and visual world to the regional film industry.",image|sound,Performance|Film Festival|Cultural Event,,Image: a performance still or festival documentation photograph.
83,exit-festival,EXIT FESTIVAL,,keep,2011,archive,exit-festival-serbia-2011.jpg,images/atlas/exit-festival-serbia-2011.webp,"Performance at the Exit Festival in Serbia — one of the earliest European festival appearances for Mashrou' Leila, the beginning of a touring circuit that would eventually cover 40 countries.",sound,Live Performance|Festival,,"Image: a stage shot from Exit Festival — crowd, stage, festival atmosphere."
84,paleo-festival,PALÉO FESTIVAL,,keep,2012,archive,paleo-festival-switzerland-2012.jpg,,"Performance at the Paléo Festival in Nyon, Switzerland — one of Europe's largest open-air festivals. Mashrou' Leila bringing Arabic-language alternative rock to a Swiss outdoor festival crowd.",sound,Live Performance|Festival,,Image: a stage shot or crowd photograph from Paléo.
85,npr-tiny-desk,NPR TINY DESK,,keep,2016,archive,npr-tiny-desk-mashrou-leila.jpg,images/atlas/npr-tiny-desk-mashrou-leila.webp,"The NPR Tiny Desk Concert — the performance that broke Mashrou' Leila to an English-speaking global audience. Recorded in Washington, D.C., it became one of the most-viewed Tiny Desk concerts featuring a non-English-language act.",sound|systems,Live Performance|Media|Global Breakout,,"Image: the Tiny Desk setup — the band crowded around desks, the informal intimacy of the format."
86,roman-video,ROMAN (MV),,keep,2017,archive,roman-music-video-still.jpg,images/atlas/roman-music-video-still.webp,"The anchor image of the band's late visual era — Roman became a feminist and queer manifesto in video form, with the most precise visual language of any Mashrou' Leila music video. Haig's creative direction at its most considered. The door into the broader music video archive.",image|sound,Music Video|Creative Direction|Feminist,,Keep current image — the Roman video still is exactly right.
87,ysl-museum-opening,YSL MUSEUM OPENING,,keep,2017,archive,ysl-museum-marrakech-performance.jpg,,Private performance at the opening of the Yves Saint Laurent Museum in Marrakech — a collaboration between the band's cultural reach and the museum's positioning at the intersection of French colonial aesthetics and Moroccan heritage.,sound|space,Private Performance|Cultural Event|Institutional,,"Image: a performance still from Marrakech, or the YSL Museum exterior."
88,montreux-jazz-festival,MONTREUX JAZZ FESTIVAL,,keep,2018,archive,montreux-jazz-festival-2018.jpg,,"Performance at the Montreux Jazz Festival in Switzerland — one of the world's most prestigious jazz and world music platforms, adding institutional legitimacy to the band's European festival circuit.",sound,Live Performance|Festival,,"Image: a stage shot from Montreux — the lake backdrop, the festival staging."
89,beirut-blast-relief,BEIRUT BLAST RELIEF,,keep,2020,archive,beirut-blast-relief-concert-2020.jpg,,"Global fundraising concert organized in response to the August 4, 2020 Beirut port explosion — Mashrou' Leila's last major collective action as a band, mobilizing international networks for humanitarian response.",systems|sound,Humanitarian|Fundraising|Global Concert,,"Image: a documentary photograph from the post-blast Beirut context, or a concert flyer/poster."
90,greenpeace-campaign,GREENPEACE CAMPAIGN,,keep,2014,archive,greenpeace-campaign-renewable-energy.jpg,images/atlas/greenpeace-campaign-renewable-energy.webp,"Renewable energy awareness campaign with Greenpeace — Mashrou' Leila lending the band's platform to environmental advocacy, an early instance of the systematic use of cultural reach for institutional change.",systems,Advocacy|Environmental|Campaign,,"Image: the campaign visual — clean, environmental, advocacy-forward."
91,body-maintenance-log,BODY MAINTENANCE LOG,,keep,2021,archive,body-maintenance-log-document-art.jpg,images/atlas/body-maintenance-log-document-art.webp,"Document art on visa status, health records, and bodily administration — the body as bureaucratic object. A personal archive of the paperwork that mediates existence in a country where you're not from: medical forms, visa renewals, insurance documents treated as literary artifacts. Bureaucratic surrealism applied to the self.",text|systems,Document Art|Personal Archive|Bureaucratic Surrealism,kardia|cartography-of-absence,"Image: a detail of the actual documents — visa stamp, medical form, insurance card — arranged as a composition."
92,project-zero,PROJECT ZERO,,keep,2026,archive,project-zero-civic-protocol.jpg,images/atlas/project-zero-civic-protocol.webp,"Civic protocol concept for collective stillness — a framework for institutional and public pause. What does it mean to build a protocol around doing nothing: no notifications, no movement, no production. The civic as contemplative infrastructure.",systems|code,Civic Design|Protocol|Speculative Systems,lede-nyc|fictive-environments,"Image: a blank form with 'Project Zero' as a header, or a visualization of collective stillness — absence as content."
93,the-mirage-room,THE MIRAGE ROOM,,keep,2012,archive,the-mirage-room-optical-installation.jpg,images/atlas/the-mirage-room-optical-installation.webp,"Optical illusion installation produced during the Bartlett/early London years — a room designed to produce spatial disorientation, where surfaces that appear solid are reflective and distances are systematically misread.",space|image,Installation|Optical Art|Spatial Design,architecture-in-low-res,"Image: an installation photograph — the optical effect visible, the spatial disorientation palpable."
94,lava-object,LAVA OBJECT,,remove,2010,archive,lava-object-industrial-design.jpg,,"Industrial design piece — an object that references volcanic form and material weight. One of the few industrial design works in the archive, produced during the DW5 period in Beirut.",space,Industrial Design|Object Design,plot-house,"Image: the object itself, photographed as a product — dark material, sculptural. Removed from atlas per review."
95,phil-and-joe-barbershop,PHIL & JOE BARBERSHOP,,keep,2011,archive,phil-joe-barbershop-interior.jpg,,"Interior design for a Beirut barbershop — a commercial interior project at the intersection of craft, cultural space, and everyday architecture. One of the few projects in the archive that is unambiguously domestic and local in scale.",space,Interior Design|Commercial|Beirut,plot-house|b018-nightclub,"Image: the interior of the barbershop — warm, craft-forward, Beirut neighborhood scale."
96,cerf-volant,CERF VOLANT,,remove,2012,archive,cerf-volant-lighting-installation.jpg,,"Lighting installation — Cerf Volant means kite in French. A light object that takes flight, literally or in spatial metaphor. An early experiment in atmospheric and environmental design.",space,Lighting Design|Installation,plot-house,"Image: the installation lit — light quality, space transformed. Removed from atlas per review."
97,bourj-hammoud-thesis,BOURJ HAMMOUD THESIS,,keep,2009,archive,bourj-hammoud-urban-thesis.jpg,images/atlas/bourj-hammoud-urban-thesis.webp,"AUB undergraduate thesis on Bourj Hammoud — the Armenian-Lebanese quarter of Beirut, one of the most densely layered urban environments in the Arab world. Urban research at the intersection of heritage, density, and diaspora identity.",space|text,Urban Research|Architectural Thesis|Armenian Heritage,aub-architecture-b-arch|2006-reconstruction,"Image: a map of Bourj Hammoud, or a photograph of the neighborhood — dense, layered, Armenian street signage visible."
98,map-of-the-wound,MAP OF THE WOUND,,keep,2024,archive,map-of-the-wound-literary-visual.jpg,images/atlas/map-of-the-wound-literary-visual.webp,"Composite literary and visual work — a map drawn in the shape of a wound, or a wound described with the precision of a map. Documentation of a specific kind of damage that has both geographic and somatic coordinates.",text|image,Literary Work|Visual Art|Composite,cartography-of-absence|nowhere-elsewhere,"Image: a detail of the map — hand-drawn, anatomical precision applied to geographic form."
99,ants-design-store,ANTS DESIGN STORE,,keep,2011,archive,ants-design-store-interior.jpg,images/atlas/ants-design-store-interior.webp,"Commercial interior for a design store in Beirut and Yerevan — a retail environment for design objects, spanning Lebanese and Armenian contexts. One of the few projects that literally bridges the two cities that anchor Haig's identity.",space,Interior Design|Commercial|Retail,plot-house|phil-and-joe-barbershop,"Image: the store interior — objects on display, clean retail design, Beirut or Yerevan context."
100,skoun-concert,SKOUN CONCERT,,keep,2018,archive,skoun-concert-mental-health.jpg,,"Mental health awareness concert — Mashrou' Leila in partnership with Skoun, Lebanon's first drug treatment and harm reduction center. The band's platform used for a conversation about mental health in a cultural context where that conversation was rare.",systems|sound,Advocacy|Mental Health|Concert,mashrou-leila|beirut-blast-relief,"Image: a concert still or campaign visual — warm, advocacy-forward."
101,marsa-clinic-event,MARSA CLINIC EVENT,,keep,2017,archive,marsa-clinic-sexual-health-event.jpg,,"Sexual health awareness event with Marsa, Lebanon's only sexual health clinic for at-risk populations. The band's platform in service of public health advocacy in a country without formal LGBTQ+ recognition.",systems|sound,Advocacy|Sexual Health|Public Health,mashrou-leila|artistic-freedom-initiative,"Image: an event visual or poster — clinical clarity, warm accessibility."
102,sawa-aid-concert,SAWA AID CONCERT,,keep,2016,archive,sawa-aid-concert-refugees.jpg,,Syrian refugee fundraising concert — Mashrou' Leila mobilizing cultural platform for humanitarian response to the Syrian displacement crisis at its peak.,systems|sound,Humanitarian|Fundraising|Concert,mashrou-leila|beirut-blast-relief,"Image: a concert still or campaign poster — humanitarian urgency, cultural warmth."
103,seal-concert,SEAL CONCERT,,keep,2017,archive,seal-concert-economic-action.jpg,,SEAL (Secular Arab Artists for Lebanon) concert — a coalition performance for economic reform and anti-corruption advocacy in Lebanon. The band as political actor in the most direct sense: using concert infrastructure for civic pressure.,systems|sound,Advocacy|Economic Reform|Coalition,mashrou-leila|artistic-freedom-initiative,Image: a concert still or SEAL coalition visual.
104,toronto-pride,TORONTO PRIDE,,keep,2016,archive,toronto-pride-performance.jpg,,"Performance at Toronto Pride — one of the world's largest Pride celebrations, marking the band's explicit alignment with LGBTQ+ advocacy on the global stage and in the diaspora.",systems|sound,LGBTQ+ Advocacy|Performance|Diaspora,mashrou-leila|cost-of-being-queer-and-arab,"Image: a Pride performance still — rainbow flags, crowd, stage."
105,oslo-world,OSLO WORLD,,keep,2016,archive,oslo-world-festival-performance.jpg,,"Performance at the Oslo World music festival in Norway — a curated international music festival specifically focused on global and non-Western music, an institutional validation of the band's positioning.",sound,Live Performance|Festival,,Image: a stage shot from Oslo World — intimate festival scale.
106,lowlands-festival,LOWLANDS FESTIVAL,,keep,2019,archive,lowlands-festival-netherlands.jpg,,"Performance at the Lowlands Festival in the Netherlands — one of Europe's major multi-day festivals, the band playing to an audience with no existing knowledge of Arabic-language rock.",sound,Live Performance|Festival,,"Image: a stage shot from Lowlands — festival scale, crowd visible."
107,hercules-and-love-affair,HERCULES & LOVE AFFAIR,,keep,2017,archive,hercules-love-affair-are-you-still-certain.jpg,,Collaboration: 'Are You Still Certain?' — Mashrou' Leila featured on the Hercules & Love Affair album Omnion. A convergence of the band's Arabic-language queer politics and the New York house music tradition.,sound,Collaboration|Electronic Music|Queer Music,mashrou-leila,"Image: the Omnion album cover, or a performance still of the collaboration."
108,roisin-murphy,ROISIN MURPHY,,keep,2018,archive,roisin-murphy-salam-banksy.jpg,,"Collaboration: 'Salam' — recorded at Banksy's Walled Off Hotel in Palestine. Roisin Murphy and Mashrou' Leila in a politically charged site, making a song about peace in the most ironic location possible.",sound,Collaboration|Political Music|Banksy,mashrou-leila|banksy-block-9-retreat,Image: a still from the Salam recording session at the Walled Off Hotel.
109,lost-souls-of-saturn,LOST SOULS OF SATURN,,keep,2019,archive,lost-souls-saturn-bint-el-khandaq.jpg,,"Collaboration: 'Bint el Khandaq' — Mashrou' Leila featured on the Lost Souls of Saturn project by Seth Troxler and Phil Moffa. The band's voice in an electronic music context, stripping the arrangement back to the essential.",sound,Collaboration|Electronic Music,mashrou-leila,"Image: the Lost Souls of Saturn release artwork, or a DJ performance still."
110,mika-collaboration,MIKA COLLABORATION,,keep,2020,archive,mika-promiseland-sursock-palace.jpg,images/atlas/mika-promiseland-sursock-palace.webp,"Collaboration: 'Promiseland' — performed at the I Love Beirut benefit concert in the ruins of the Sursock Palace after the August 2020 explosion. Mika and Mashrou' Leila in the rubble of one of Beirut's most iconic heritage buildings, singing about a promised land.",sound,Collaboration|Humanitarian|Benefit Concert,mashrou-leila|beirut-blast-relief,"Image: the Sursock Palace performance still — the ruined palace, the performers, the emotional weight of the site."
111,the-narcycist,THE NARCYCIST,,keep,2018,archive,narcycist-time-collaboration.jpg,,"Collaboration: 'Time' — with The Narcycist (Yassin Alsalman), the Iraqi-Canadian rapper and poet. A convergence of Arabic diaspora musical traditions across different geographic and stylistic registers.",sound,Collaboration|Hip-Hop|Arabic Diaspora,mashrou-leila,Image: a studio or performance still from the collaboration.
112,cavalry-mv,CAVALRY (MV),,keep,2019,archive,cavalry-music-video-militarized.jpg,images/atlas/cavalry-music-video-militarized.webp,"Music video on militarized space — Cavalry as a visual argument about the aestheticization of military presence in public life, with the band occupying and reclaiming militarized visual grammar.",image|systems,Music Video|Political Imagery|Creative Direction,mashrou-leila,"Image: the most striking still from the Cavalry video — the militarized aesthetic, reclaimed."
113,radio-romance-mv,RADIO ROMANCE (MV),,keep,2019,archive,radio-romance-narrative-video.jpg,images/atlas/radio-romance-narrative-video.webp,Narrative music video — Radio Romance as a story told in the specific emotional register of late-night radio and the kind of love that only exists in that frequency.,image,Music Video|Narrative,mashrou-leila,"Image: a still from the Radio Romance video — warm, nocturnal, narrative quality."
114,aoede-mv,AOEDE (MV),,keep,2016,archive,aoede-experimental-video.jpg,,"Experimental visual video — Aoede, the muse of song, rendered in an experimental visual language that departs from the band's usual aesthetic. A more abstract, image-driven approach.",image,Music Video|Experimental|Visual Art,mashrou-leila,"Image: a still from the Aoede video — abstract, experimental, the most visually unexpected frame."
115,3-minutes-mv,3 MINUTES (MV),,keep,2015,archive,3-minutes-fan-collaborated-video.jpg,images/atlas/3-minutes-fan-collaborated-video.webp,"Fan-collaborated video — 3 Minutes was built from footage submitted by fans across MENA, making the audience the image-makers. The most participatory and distributed visual work in the Mashrou' archive.",image,Music Video|Fan Participation|Collaborative,mashrou-leila,"Image: a still from the fan video — assembled, participatory, multiple sources visible in the aesthetic."
116,lil-watan-mv,LIL WATAN (MV),,keep,2013,archive,lil-watan-political-satire-video.jpg,images/atlas/lil-watan-political-satire-video.webp,"Political satire music video — Lil Watan (For the Homeland) is the band's sharpest political satire, a video that treats Lebanese political culture with the precision of a surgical instrument and the timing of a joke.",image|systems,Music Video|Political Satire|Creative Direction,mashrou-leila,Image: the most satirically charged still from the Lil Watan video.
117,the-waiting-room,THE WAITING ROOM,,keep,2010,archive,the-waiting-room-installation.jpg,images/atlas/the-waiting-room-installation.webp,"Early architectural installation — the waiting room as spatial condition, as political state, as the universal experience of institutional suspension. Bureaucratic surrealism as spatial practice, before it had a name.",space,Installation|Spatial Design|Early Work,cartography-of-absence|b018-nightclub,"Image: the installation — a waiting room rendered uncanny, chairs and light and the specific quality of bureaucratic time."
118,1000-strings-at-rest,1000 STRINGS AT REST,,keep,2022,archive,1000-strings-at-rest-installation.jpg,images/atlas/1000-strings-at-rest-installation.webp,"Multimedia performance and installation — 1000 strings, each at rest, each holding the potential of a sound that has not yet been made. A work that bridges Mashrou' Leila, the Space Time Tuning Machine, and DERIVE: the archive of the not-yet-played. Subtractive composition at its most literal.",sound|space|image,Installation|Sound Art|Multimedia Performance,space-time-tuning-machine|derive,Replace current image (Ibn El Leil album cover) with an installation photograph of the strings-at-rest work.
119,galaxy-birds,GALAXY BIRDS,,keep,2024,archive,galaxy-birds-generative-art.jpg,images/atlas/galaxy-birds-generative-art.webp,"Digital and generative art piece — birds rendered in generative code, forming constellations and dispersing. The bird as unit of both natural system and computational system, migrating through algorithmic space.",code|image,Generative Art|Creative Coding|WebGL,derive|resonance-atlas,"Image: a frame from the generative piece — birds as particles or nodes, constellation-forming, black bg."
